ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
,simple,SM-HTAWPAT-01,ရွှေမြန်မာ ထောပတ် #01,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-01.jpg,,,,,,,,,0,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-02,ရွှေမြန်မာ ထောပတ် #02,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-02.jpg,,,,,,,,,1,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-03,ရွှေမြန်မာ ထောပတ် #03,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-03.jpg,,,,,,,,,2,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-04,ရွှေမြန်မာ ထောပတ် #04,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-04.jpg,,,,,,,,,3,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-05,ရွှေမြန်မာ ထောပတ် #05,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-05.jpg,,,,,,,,,4,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-06,ရွှေမြန်မာ ထောပတ် #06,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-06.jpg,,,,,,,,,5,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-07,ရွှေမြန်မာ ထောပတ် #07,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-07.jpg,,,,,,,,,6,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-08,ရွှေမြန်မာ ထောပတ် #08,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-08.jpg,,,,,,,,,7,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-09,ရွှေမြန်မာ ထောပတ် #09,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-09.jpg,,,,,,,,,8,Brand,Shwe Myanmar,1,0
,simple,SM-HTAWPAT-10,ရွှေမြန်မာ ထောပတ် #10,1,0,visible,သဘာဝအနံ့ သဘာဝအရသာ။ Halal အသိအမှတ်ပြု ရွှေမြန်မာ ထောပတ်။,<p><strong>ရွှေမြန်မာ ထောပတ်</strong> — သဘာဝအနံ့ သဘာဝအရသာ။</p><p>လူမျိုးဘာသာမရွေး ယုံကြည်စိတ်ချစွာ စားသုံးနိုင်ပါသည်။ အိမ်သုံး သဘာဝထောပတ်မွှေး။ Halal certified။</p><p>ဆက်သွယ်ရန်: 02-40 55122 / 02-40 55123</p>,,,taxable,,1,50,5,0,0,,,,,1,,,5000,Food > Ghee & Butter,"Halal, ထောပတ်, Shwe Myanmar, Ghee",,https://shweghee.com/wp-content/uploads/2026/08/SM-HTAWPAT-10.jpg,,,,,,,,,9,Brand,Shwe Myanmar,1,0
